order,korean,translation,chapter
5,국내 전화,Domestic phone call,Lesson 12: Communication Phone P1
6,수신자 부담,Collect call,Lesson 12: Communication Phone P1
7,연락처,Contact information,Lesson 12: Communication Phone P1
8,전화 카드,Phone card,Lesson 12: Communication Phone P1
9,국제전화,International phone call,Lesson 12: Communication Phone P1
10,인터넷 전화,Internet telephone,Lesson 12: Communication Phone P1
11,국가 번호,Country code,Lesson 12: Communication Phone P1
12,지역 번호,Area code,Lesson 12: Communication Phone P1
13,전화를 걸다/하다,To make a phone call,Lesson 12: Communication Phone P1
14,전화를 받다,To pick up the phone,Lesson 12: Communication Phone P1
15,전화를 끊다,To hang up,Lesson 12: Communication Phone P1
16,문자메시지를 보내다,To send a text message,Lesson 12: Communication Phone P1
17,답장을 보내다,To reply to a letter,Lesson 12: Communication Phone P1
18,전화가 오다,To get a call,Lesson 12: Communication Phone P1
19,전화를 바꾸다,To put someone on the phone,Lesson 12: Communication Phone P1
20,통화 중이다,To be on the phone,Lesson 12: Communication Phone P1
21,문자메시지를 받다,To receive the text message,Lesson 12: Communication Phone P1
22,답장을 받다,To receive an answer to one's letter,Lesson 12: Communication Phone P1
23,여보세요?,Hello?,Lesson 12: Communication Phone P1
24,거기 ...(이)지요?,Is that (...)?,Lesson 12: Communication Phone P1
25,(...) 계세요?,Is (...) there?,Lesson 12: Communication Phone P1
26,바꿔 주시겠어요?,Can I speak to (...)?,Lesson 12: Communication Phone P1
27,메모 좀 전해 주세요.,Could you pass on my memo?,Lesson 12: Communication Phone P1
28,말씀 좀 전해 주세요.,Could you pass on my message?,Lesson 12: Communication Phone P1
29,다시 전화하겠습니다.,I'll call again.,Lesson 12: Communication Phone P1
30,그런데요?,So?,Lesson 12: Communication Phone P1
31,실례지만 누구세요?,"Excuse me, but who are you?",Lesson 12: Communication Phone P1
32,지금 없는데요.,He/she is not in.,Lesson 12: Communication Phone P1
33,잠깐 외출하셨는데요.,He/she's out for a while.,Lesson 12: Communication Phone P1
34,메모 전해 드리겠습니다.,I'll deliver the memo.,Lesson 12: Communication Phone P1
35,말씀 전해 드리겠습니다.,I'll relay the message.,Lesson 12: Communication Phone P1
36,누구라고 전해 드릴까요?,Who shall I say is calling?,Lesson 12: Communication Phone P1
37,그분,That person (honorific),Lesson 12: Communication Phone P1
38,깨우다,To wake up,Lesson 12: Communication Phone P1
39,남기다,"To leave, to hand down",Lesson 12: Communication Phone P1
40,내다,"To pay, to donate, to put, to place",Lesson 12: Communication Phone P1
41,늦게,Late,Lesson 12: Communication Phone P1
42,대사관,Embassy,Lesson 12: Communication Phone P1
43,들어오다,"To come in, to get in, to enter",Lesson 12: Communication Phone P1
44,말씀드리다,To tell,Lesson 12: Communication Phone P1
45,맞다,To be correct,Lesson 12: Communication Phone P1
46,사장님,"President, CEO, boss",Lesson 12: Communication Phone P1
47,소리,"Sound, voice",Lesson 12: Communication Phone P1
48,약속,Appointment,Lesson 12: Communication Phone P1
49,얼마나,"How long, how much",Lesson 12: Communication Phone P1
50,역사,History,Lesson 12: Communication Phone P1
51,정하다,To decide,Lesson 12: Communication Phone P1
52,짐,Baggage,Lesson 12: Communication Phone P1
1,생일,Birthday,Lesson 13: Birthday
2,축하 노래,Congratulatory song,Lesson 13: Birthday
3,카드,Card,Lesson 13: Birthday
4,잔치,"Party, feast, banquet",Lesson 13: Birthday
5,초대,Invitation,Lesson 13: Birthday
6,나이,Age,Lesson 13: Birthday
7,살,"Age, years",Lesson 13: Birthday
8,연세,Age (honorific form of 나이),Lesson 13: Birthday
9,세,Age (honorific form of 살),Lesson 13: Birthday
10,화장품,Cosmetics,Lesson 13: Birthday
11,손수건,Handkerchief,Lesson 13: Birthday
12,넥타이,Necktie,Lesson 13: Birthday
13,귀걸이,Earrings,Lesson 13: Birthday
14,목걸이,Necklace,Lesson 13: Birthday
15,반지,Ring,Lesson 13: Birthday
16,꽃다발,"Bouquet, bunch of flowers",Lesson 13: Birthday
17,선물을 주다,To give a gift,Lesson 13: Birthday
18,선물을 드리다,To give a gift (honorific),Lesson 13: Birthday
19,선물을 받다,To receive a gift,Lesson 13: Birthday
20,선물을 고르다,To choose a gift,Lesson 13: Birthday
21,가볍다,To be light,Lesson 13: Birthday
22,짧다,To be short,Lesson 13: Birthday
23,금반지,Gold ring,Lesson 13: Birthday
24,생활,"Life, living, livelihood, live",Lesson 13: Birthday
25,참,"Truly, really, very",Lesson 13: Birthday
26,길다,To be long,Lesson 13: Birthday
27,스웨터,Sweater,Lesson 13: Birthday
28,첫,First,Lesson 13: Birthday
29,꼭,"Surely, certainly, undoubtedly",Lesson 13: Birthday
30,스파게티,Spaghetti,Lesson 13: Birthday
31,끝나다,"End, finish",Lesson 13: Birthday
32,시청,City hall,Lesson 13: Birthday
33,한식당,Korean restaurant,Lesson 13: Birthday
34,아빠,"Dad, daddy, father",Lesson 13: Birthday
35,행복하다,To be happy,Lesson 13: Birthday
36,레스토랑,Restaurant,Lesson 13: Birthday
37,엄마,"Mom, mommy, mother",Lesson 13: Birthday
38,향수,Perfume,Lesson 13: Birthday
39,먼저,"First, earlier",Lesson 13: Birthday
40,오래간만,After a long time,Lesson 13: Birthday
41,화장하다,Put on make-up,Lesson 13: Birthday
42,무겁다,To be heavy,Lesson 13: Birthday
43,웃다,"To smile, to laugh",Lesson 13: Birthday
44,환갑,One's 60th birthday,Lesson 13: Birthday
45,번째,"A word to make ordinal numbers like first, second, third, etc",Lesson 13: Birthday
46,이탈리아,Italy,Lesson 13: Birthday
47,부르다,"Call, sing",Lesson 13: Birthday
48,장미,Rose,Lesson 13: Birthday
1,운동,"Exercise, sports",Lesson 14: Hobbies and Passions
2,축구,Soccer,Lesson 14: Hobbies and Passions
3,족구,Foot volleyball,Lesson 14: Hobbies and Passions
4,탁구,Table tennis,Lesson 14: Hobbies and Passions
5,배드민턴,Badminton,Lesson 14: Hobbies and Passions
6,테니스,Tennis,Lesson 14: Hobbies and Passions
7,태권도,Taekwondo,Lesson 14: Hobbies and Passions
8,골프,Golf,Lesson 14: Hobbies and Passions
9,요가,Yoga,Lesson 14: Hobbies and Passions
10,마라톤,Marathon,Lesson 14: Hobbies and Passions
11,스케이트,"Skate, skating",Lesson 14: Hobbies and Passions
12,볼링,Bowling,Lesson 14: Hobbies and Passions
13,조깅,Jogging,Lesson 14: Hobbies and Passions
14,수영,Swimming,Lesson 14: Hobbies and Passions
15,취미,Hobby,Lesson 14: Hobbies and Passions
16,"책 읽기, 독서",Reading a book,Lesson 14: Hobbies and Passions
17,사진 찍기,Taking pictures,Lesson 14: Hobbies and Passions
18,그림 그리기,Painting,Lesson 14: Hobbies and Passions
19,음악 감상 (하기),Listening to music,Lesson 14: Hobbies and Passions
20,여행 (하기),Traveling,Lesson 14: Hobbies and Passions
21,운동 (하기),Exercising,Lesson 14: Hobbies and Passions
22,영화 보기,Seeing a movie,Lesson 14: Hobbies and Passions
23,우표 수집/ 우표 모으기,Stamp collecting,Lesson 14: Hobbies and Passions
24,컴퓨터 게임 (하기),Playing computer game,Lesson 14: Hobbies and Passions
25,"항상, 언제나","Always, all the time",Lesson 14: Hobbies and Passions
26,자주,"Often, frequently",Lesson 14: Hobbies and Passions
27,가끔,"Sometimes, occasionally",Lesson 14: Hobbies and Passions
28,거의 안~,"Almost, nearly",Lesson 14: Hobbies and Passions
29,전혀,"Completely, absolutely, entirely",Lesson 14: Hobbies and Passions
30,잘하다,"To do a right thing, to do well",Lesson 14: Hobbies and Passions
31,못하다,Cannot,Lesson 14: Hobbies and Passions
32,보통이다,Be par for the course,Lesson 14: Hobbies and Passions
33,조금 하다,To do a little,Lesson 14: Hobbies and Passions
34,가곡,Song,Lesson 14: Hobbies and Passions
35,믿다,"To believe, to trust",Lesson 14: Hobbies and Passions
36,채팅하다,To chat online,Lesson 14: Hobbies and Passions
37,가요,Song,Lesson 14: Hobbies and Passions
38,사진을 찍다,To take pictures,Lesson 14: Hobbies and Passions
39,걱정하다,"To worry, to be worried",Lesson 14: Hobbies and Passions
40,소설책,Novel,Lesson 14: Hobbies and Passions
41,건강,Health,Lesson 14: Hobbies and Passions
42,아침마다,Every morning,Lesson 14: Hobbies and Passions
43,타다,"To ride, to get on, to board, to take",Lesson 14: Hobbies and Passions
44,걷다,To walk,Lesson 14: Hobbies and Passions
45,앞으로,"In the future, in front of",Lesson 14: Hobbies and Passions
46,경기,"Game, match",Lesson 14: Hobbies and Passions
47,어렵다,To be difficult,Lesson 14: Hobbies and Passions
48,통역하다,To interpret,Lesson 14: Hobbies and Passions
49,경치,"Scenery, scene, view",Lesson 14: Hobbies and Passions
50,고등학교,High school,Lesson 14: Hobbies and Passions
51,오토바이,Motorcycle,Lesson 14: Hobbies and Passions
52,피아노,Piano,Lesson 14: Hobbies and Passions
53,기초,"Base, foundation",Lesson 14: Hobbies and Passions
54,도시락,Box lunch,Lesson 14: Hobbies and Passions
55,유럽,Europe,Lesson 14: Hobbies and Passions
56,한글,"Hangeul, Korean alphabet",Lesson 14: Hobbies and Passions
57,동아리,Club,Lesson 14: Hobbies and Passions
58,자막,"Subtitles, caption",Lesson 14: Hobbies and Passions
59,해외여행,"Trip abroad, overseas travel",Lesson 14: Hobbies and Passions
60,디지털카메라,Digital camera,Lesson 14: Hobbies and Passions
61,정도,"Degree, being approximate",Lesson 14: Hobbies and Passions
62,만화책,Comic book,Lesson 14: Hobbies and Passions
63,주로,"Mostly, mainly",Lesson 14: Hobbies and Passions
64,묻다,To ask,Lesson 14: Hobbies and Passions
65,준비물,Supplies,Lesson 14: Hobbies and Passions
1,교통,Traffic,Lesson 15: Transportation P1
2,버스,Bus,Lesson 15: Transportation P1
3,택시,Taxi,Lesson 15: Transportation P1
4,지하철,Subway,Lesson 15: Transportation P1
5,자동차,"Car, automobile",Lesson 15: Transportation P1
6,배,"Boat, ship",Lesson 15: Transportation P1
7,비행기,"Plane, airplane",Lesson 15: Transportation P1
8,자전거,Bicycle,Lesson 15: Transportation P1
9,전차,Streetcar,Lesson 15: Transportation P1
10,오토바이 택시,Motorcycle taxi,Lesson 15: Transportation P1
11,시클로,Cyclo,Lesson 15: Transportation P1
12,어떻게,How,Lesson 15: Transportation P1
13,왜,Why,Lesson 15: Transportation P1
14,모범택시,"Luxury taxi, deluxe taxi",Lesson 15: Transportation P1
15,개인택시,Privately owned taxi,Lesson 15: Transportation P1
16,요금,"Charge, fee",Lesson 15: Transportation P1
17,버스 정류장 (정거장),"Bus stop, bus station",Lesson 15: Transportation P1
18,고속버스,Express bus,Lesson 15: Transportation P1
19,시내버스,Intra-city bus,Lesson 15: Transportation P1
20,버스 터미널,Bus terminal,Lesson 15: Transportation P1
21,교통 카드,Transportation card,Lesson 15: Transportation P1
22,마을버스,Shuttle bus,Lesson 15: Transportation P1
23,매표소,Ticket office,Lesson 15: Transportation P1
24,지하철 노선도,Subway linemap,Lesson 15: Transportation P1
25,기차역,Train station,Lesson 15: Transportation P1
26,주차장,Parking lot,Lesson 15: Transportation P1
27,주유소,Gas station,Lesson 15: Transportation P1
28,횡단보도,Crosswalk,Lesson 15: Transportation P1
29,육교,Pedestrian overpass,Lesson 15: Transportation P1
30,지하도,Underpass,Lesson 15: Transportation P1
31,신호등,"Traffic light, traffic signal",Lesson 15: Transportation P1
32,고속도로,Expressway,Lesson 15: Transportation P1
33,도로,Road,Lesson 15: Transportation P1
34,타다,"To ride, to get on, to board, to take",Lesson 15: Transportation P1
35,내리다,To get off,Lesson 15: Transportation P1
36,갈아타다,To transfer,Lesson 15: Transportation P1
37,길이 막히다,A road is blocked,Lesson 15: Transportation P1
38,시간이 걸리다,To take time,Lesson 15: Transportation P1
39,교통사고가 나다,There is a car accident,Lesson 15: Transportation P1
40,간식,Snack,Lesson 15: Transportation P1
41,빨갛다,To be red,Lesson 15: Transportation P1
42,파랗다,To be blue,Lesson 15: Transportation P1
43,남산,Namsan mountain,Lesson 15: Transportation P1
44,시내,Downtown,Lesson 15: Transportation P1
45,편의점,Convenience store,Lesson 15: Transportation P1
46,노랗다,Yellow,Lesson 15: Transportation P1
47,야경,"Night view, nightscape",Lesson 15: Transportation P1
48,학생회관,Student union,Lesson 15: Transportation P1
49,리무진 버스,Limousine bus,Lesson 15: Transportation P1
50,요리 학원,Cooking school,Lesson 15: Transportation P1
51,지각하다,To be behind time,Lesson 15: Transportation P1
52,KTX,Korea Train Express,Lesson 15: Transportation P1
